X,Coulombic Efficiency,,Average
97.94546569,98.36335042,,98.51486524
86.80875876,98.64922781,,
77.88018129,98.22041173,,
70.96774592,98.36335042,,
64.82335343,98.36335042,,
32.94930741,98.50628912,,
13.94009288,98.97083936,,
22.81106607,98.79931293,,
56.91244418,98.45626006,,
44.93087756,98.45626006,,
